estado_desc,mes_desc,ganancia_total
Sinaloa," ""Septiembre 2018""",76616387.8153249
Chihuahua," ""Septiembre 2018""",41295414.6344023
Chiapas," ""Septiembre 2018""",2028.14984025559
Coahuila de Zaragoza," ""Septiembre 2018""",51406207.7291158
Baja California Sur," ""Septiembre 2018""",3697365.86606793
Morelos," ""Septiembre 2018""",2566211.11111111
Veracruz de Ignacio de la Llave," ""Septiembre 2018""",54018799.3078296
Jalisco," ""Septiembre 2018""",28437475.2386545
Tamaulipas," ""Septiembre 2018""",56666311.8367476
Aguascalientes," ""Septiembre 2018""",9790073.23150506
Campeche," ""Septiembre 2018""",44595579.8639324
Nuevo Leon," ""Septiembre 2018""",4150126.3586365
Yucatan," ""Septiembre 2018""",26500353.6280974
Quintana Roo," ""Septiembre 2018""",19850109.3095748
Colima," ""Septiembre 2018""",153.932414698163
Coahuila de Zaragoza," ""Octubre 2018""",63580654.308022
Quintana Roo," ""Octubre 2018""",43740805.8783263
Chiapas," ""Octubre 2018""",3957976.02203307
Baja California," ""Octubre 2018""",22777390.6610742
Veracruz de Ignacio de la Llave," ""Octubre 2018""",38838732.4712958
Jalisco," ""Octubre 2018""",6083429.96866866
Baja California Sur," ""Octubre 2018""",62509.5480442716
Estado de Mexico," ""Octubre 2018""",2325487.5
Nuevo Leon," ""Octubre 2018""",1791600
Chihuahua," ""Octubre 2018""",74173807.2424071
Yucatan," ""Octubre 2018""",23387629.7651408
Sinaloa," ""Octubre 2018""",66817670.2535456
Campeche," ""Octubre 2018""",60043688.861842
Tamaulipas," ""Octubre 2018""",73411255.6944561
Aguascalientes," ""Octubre 2018""",5897497.66317381
Campeche," ""Noviembre 2018"" ",53012278.8290905
Nuevo Leon," ""Noviembre 2018"" ",1601590
Quintana Roo," ""Noviembre 2018"" ",24359175.2647107
Baja California," ""Noviembre 2018"" ",53721873.9024942
Sinaloa," ""Noviembre 2018"" ",76241459.3095486
Chiapas," ""Noviembre 2018"" ",1214627.63452433
Aguascalientes," ""Noviembre 2018"" ",9713563.61064448
Baja California Sur," ""Noviembre 2018"" ",10459433.9630758
Coahuila de Zaragoza," ""Noviembre 2018"" ",49898797.5166258
Chihuahua," ""Noviembre 2018"" ",36692539.2302701
Veracruz de Ignacio de la Llave," ""Noviembre 2018"" ",26467019.076338
Yucatan," ""Noviembre 2018"" ",40373510.6146511
Jalisco," ""Noviembre 2018"" ",18052958.8939713
Tamaulipas," ""Noviembre 2018"" ",71390735.4596978
Aguascalientes," ""Diciembre 2018""",13175846.2232967
Campeche," ""Diciembre 2018""",49116776.3820281
Quintana Roo," ""Diciembre 2018""",21741514.0745434
Sinaloa," ""Diciembre 2018""",47954917.767518
Baja California Sur," ""Diciembre 2018""",5416686.68336369
Estado de Mexico," ""Diciembre 2018""",749.614285714286
Veracruz de Ignacio de la Llave," ""Diciembre 2018""",26574620.8904755
Baja California," ""Diciembre 2018""",41127240.5620308
Tamaulipas," ""Diciembre 2018""",74920104.8176103
Yucatan," ""Diciembre 2018""",43605911.0795236
Nuevo Leon," ""Diciembre 2018""",4551068.71095346
Jalisco," ""Diciembre 2018""",23472860.3117974
Coahuila de Zaragoza," ""Diciembre 2018""",62427988.0977273
Chihuahua," ""Diciembre 2018""",53216078.5292224
Chihuahua," ""Enero 2019""",46481662.055893
Sinaloa," ""Enero 2019""",47811059.6817426
Estado de Mexico," ""Enero 2019""",2696596.15384615
Yucatan," ""Enero 2019""",40540115.5691158
Guerrero," ""Enero 2019""",2081916.14359992
Baja California," ""Enero 2019""",39577767.4501613
Michoacan de Ocampo," ""Enero 2019""",1579.74247144341
Chiapas," ""Enero 2019""",7820784.51055235
Jalisco," ""Enero 2019""",14502931.9803663
Campeche," ""Enero 2019""",61511318.5861608
Coahuila de Zaragoza," ""Enero 2019""",62053455.038716
Aguascalientes," ""Enero 2019""",15898830.6464457
Durango," ""Enero 2019""",2414.5534591195
Veracruz de Ignacio de la Llave," ""Enero 2019""",28306302.0494298
Nuevo Leon," ""Enero 2019""",6972004.99726121
Quintana Roo," ""Enero 2019""",45929129.6317077
Tamaulipas," ""Enero 2019""",57205211.4974995
Baja California Sur," ""Enero 2019""",24508728.8983965
Quintana Roo," ""Febrero 2019""",60324277.7056177
Tamaulipas," ""Febrero 2019""",97326183.5568762
Sinaloa," ""Febrero 2019""",75154872.5759479
Baja California Sur," ""Febrero 2019""",9497863.80472753
Coahuila de Zaragoza," ""Febrero 2019""",89312104.4083
Guanajuato," ""Febrero 2019""",1635.32372691662
Yucatan," ""Febrero 2019""",40998776.8461139
Nuevo Leon," ""Febrero 2019""",1340103.44827586
Jalisco," ""Febrero 2019""",34683532.374872
Chiapas," ""Febrero 2019""",3660297.37356322
Campeche," ""Febrero 2019""",32977115.97147
Aguascalientes," ""Febrero 2019""",14541396.0283496
Veracruz de Ignacio de la Llave," ""Febrero 2019""",29220486.4355251
Baja California," ""Febrero 2019""",32936651.6390991
Chihuahua," ""Febrero 2019""",39542139.8982013
Chihuahua," ""Marzo 2019""",31538566.55849
Baja California," ""Marzo 2019""",31968587.671844
Quintana Roo," ""Marzo 2019""",37355412.7616059
Tamaulipas," ""Marzo 2019""",56038444.5455508
Jalisco," ""Marzo 2019""",17230701.9330069
Campeche," ""Marzo 2019""",44808560.1266791
Coahuila de Zaragoza," ""Marzo 2019""",85414043.0173135
Veracruz de Ignacio de la Llave," ""Marzo 2019""",22391565.4782168
Aguascalientes," ""Marzo 2019""",8689585.01718462
Durango," ""Marzo 2019""",765474.576271186
Baja California Sur," ""Marzo 2019""",8497794.43957879
Yucatan," ""Marzo 2019""",36876955.757931
Chiapas," ""Marzo 2019""",3691312.5
Nuevo Leon," ""Marzo 2019""",1245.76335078534
Sinaloa," ""Marzo 2019""",69968957.0098996
Baja California," ""Abril 2019""",36758327.5927299
Sinaloa," ""Abril 2019""",48925406.8565761
Campeche," ""Abril 2019""",63498611.2183547
Coahuila de Zaragoza," ""Abril 2019""",87787093.671297
Tamaulipas," ""Abril 2019""",80299118.7664795
Baja California Sur," ""Abril 2019""",10593873.9960455
Quintana Roo," ""Abril 2019""",33362219.0716086
Jalisco," ""Abril 2019""",30093862.4517998
Aguascalientes," ""Abril 2019""",16648988.962581
Nuevo Leon," ""Abril 2019""",2377691.89768146
Chihuahua," ""Abril 2019""",22637054.1337312
Durango," ""Abril 2019""",1713.26146496815
Veracruz de Ignacio de la Llave," ""Abril 2019""",27639066.2704159
Yucatan," ""Abril 2019""",40259046.4458949
Chiapas," ""Abril 2019""",4014338.55598385
Tamaulipas," ""Mayo 2019""",75506955.9351763
Chiapas," ""Mayo 2019""",5431221.54094425
Quintana Roo," ""Mayo 2019""",27715719.7860836
Durango," ""Mayo 2019""",2364369.23679727
Jalisco," ""Mayo 2019""",24428521.6789916
Yucatan," ""Mayo 2019""",18717003.9958967
Coahuila de Zaragoza," ""Mayo 2019""",60205199.5449945
Baja California," ""Mayo 2019""",47258259.5300416
Veracruz de Ignacio de la Llave," ""Mayo 2019""",47960578.2312001
Aguascalientes," ""Mayo 2019""",7685558.33751456
Chihuahua," ""Mayo 2019""",55955960.5079369
Guerrero," ""Mayo 2019""",1955.95567375887
Campeche," ""Mayo 2019""",47543072.9946447
Baja California Sur," ""Mayo 2019""",7153594.97446676
Nuevo Leon," ""Mayo 2019""",364.865109034268
Sinaloa," ""Mayo 2019""",80026396.821391
Baja California Sur," ""Junio 2019""",9092395.78230564
Nuevo Leon," ""Junio 2019""",3785560.25004737
Jalisco," ""Junio 2019""",20286413.882141
Guanajuato," ""Junio 2019""",5127967.39130435
Campeche," ""Junio 2019""",53151489.6188998
Tamaulipas," ""Junio 2019""",73934896.3814387
Coahuila de Zaragoza," ""Junio 2019""",56663659.4509377
Veracruz de Ignacio de la Llave," ""Junio 2019""",45961142.7735977
Chihuahua," ""Junio 2019""",61198538.207061
Yucatan," ""Junio 2019""",39911676.6785953
Durango," ""Junio 2019""",6626251.85185185
Aguascalientes," ""Junio 2019""",5260669.43332082
Quintana Roo," ""Junio 2019""",30243567.0482804
Baja California," ""Junio 2019""",33317415.7898286
Sinaloa," ""Junio 2019""",68542122.7595672
Quintana Roo," ""Julio 2019""",18560310.6751697
Veracruz de Ignacio de la Llave," ""Julio 2019""",24934243.0893346
Chihuahua," ""Julio 2019""",37735876.7863792
Campeche," ""Julio 2019""",28397656.4389704
Nuevo Leon," ""Julio 2019""",4019605.8516846
Jalisco," ""Julio 2019""",29231744.6350884
Coahuila de Zaragoza," ""Julio 2019""",42425455.8601229
Tamaulipas," ""Julio 2019""",41885871.8628709
Baja California," ""Julio 2019""",46589065.5921939
Sinaloa," ""Julio 2019""",63988849.1619209
Chiapas," ""Julio 2019""",3963032.42414363
Aguascalientes," ""Julio 2019""",15147347.8035173
Durango," ""Julio 2019""",1635034.88372093
Baja California Sur," ""Julio 2019""",2547.91945757131
Yucatan," ""Julio 2019""",21052054.8323953
Tamaulipas," ""Agosto 2019""",82116520.970056
Chihuahua," ""Agosto 2019""",37703236.6883315
Yucatan," ""Agosto 2019""",46785540.0672118
Jalisco," ""Agosto 2019""",25862010.6406086
Veracruz de Ignacio de la Llave," ""Agosto 2019""",31279117.5413969
Baja California Sur," ""Agosto 2019""",11709059.5374347
Hidalgo," ""Agosto 2019""",3125
Baja California," ""Agosto 2019""",37100397.2725999
Campeche," ""Agosto 2019""",73923798.390767
Michoacan de Ocampo," ""Agosto 2019""",4840285.71428571
Chiapas," ""Agosto 2019""",610.250441956394
Aguascalientes," ""Agosto 2019""",13315358.6931707
Quintana Roo," ""Agosto 2019""",29768186.4040951
Colima," ""Agosto 2019""",232.056006493507
Sinaloa," ""Agosto 2019""",82452879.7679538
Nuevo Leon," ""Agosto 2019""",4773071.39438944
Durango," ""Agosto 2019""",672.867281985996
Coahuila de Zaragoza," ""Agosto 2019""",70990496.3509805
Baja California Sur," ""Septiembre 2019""",2168245.32847433
Quintana Roo," ""Septiembre 2019""",25147796.0565665
Campeche," ""Septiembre 2019""",74543583.3455624
Tamaulipas," ""Septiembre 2019""",67203181.6566582
Chihuahua," ""Septiembre 2019""",64073352.8852112
Jalisco," ""Septiembre 2019""",35578654.8079734
Colima," ""Septiembre 2019""",390.672391857506
Coahuila de Zaragoza," ""Septiembre 2019""",68983104.390907
Yucatan," ""Septiembre 2019""",34287480.135118
Sinaloa," ""Septiembre 2019""",33950566.9668167
Chiapas," ""Septiembre 2019""",4901.91109923908
Baja California," ""Septiembre 2019""",47206572.4888216
Veracruz de Ignacio de la Llave," ""Septiembre 2019""",51603174.804606
Aguascalientes," ""Septiembre 2019""",10898704.4218287
Baja California Sur," ""Octubre 2019""",1926853.53053824
Aguascalientes," ""Octubre 2019""",7298795.7216578
Jalisco," ""Octubre 2019""",22456301.3772949
Guerrero," ""Octubre 2019""",2248.11764705882
Baja California," ""Octubre 2019""",46168050.6572218
Chiapas," ""Octubre 2019""",4375511.11111111
Veracruz de Ignacio de la Llave," ""Octubre 2019""",26863516.2613928
Nuevo Leon," ""Octubre 2019""",311.93374422188
Durango," ""Octubre 2019""",543.33595505618
Sinaloa," ""Octubre 2019""",55558624.5237565
Coahuila de Zaragoza," ""Octubre 2019""",69419457.5606473
Quintana Roo," ""Octubre 2019""",56861566.9162435
Tamaulipas," ""Octubre 2019""",63228814.0311305
Chihuahua," ""Octubre 2019""",83755750.433193
Yucatan," ""Octubre 2019""",36078042.001585
Campeche," ""Octubre 2019""",51618620.6621255
Veracruz de Ignacio de la Llave," ""Noviembre 2019"" ",33355262.1787467
Jalisco," ""Noviembre 2019"" ",25868747.0290208
Yucatan," ""Noviembre 2019"" ",37452064.9577595
Baja California," ""Noviembre 2019"" ",32647216.9967522
Chihuahua," ""Noviembre 2019"" ",61460744.6432877
Baja California Sur," ""Noviembre 2019"" ",3143.61172032918
Coahuila de Zaragoza," ""Noviembre 2019"" ",30729426.1778308
Aguascalientes," ""Noviembre 2019"" ",6927438.32513891
Sinaloa," ""Noviembre 2019"" ",66446844.0442944
Guerrero," ""Noviembre 2019"" ",2649395.83333333
Tamaulipas," ""Noviembre 2019"" ",62897714.6776927
Campeche," ""Noviembre 2019"" ",75937392.4104335
Quintana Roo," ""Noviembre 2019"" ",35962158.2079061
Chihuahua," ""Diciembre 2019""",33363904.8542791
Baja California Sur," ""Diciembre 2019""",1818469.20313058
Colima," ""Diciembre 2019""",2157.38779402416
Chiapas," ""Diciembre 2019""",2240.98893572181
Aguascalientes," ""Diciembre 2019""",3891607.83514151
Nuevo Leon," ""Diciembre 2019""",3554.90886075949
Baja California," ""Diciembre 2019""",33785598.5734333
Guanajuato," ""Diciembre 2019""",1987080.3695232
Campeche," ""Diciembre 2019""",76724364.974988
Sinaloa," ""Diciembre 2019""",72921581.8971367
Quintana Roo," ""Diciembre 2019""",36471081.9587849
Yucatan," ""Diciembre 2019""",29341729.706371
Tamaulipas," ""Diciembre 2019""",80913789.1964729
Coahuila de Zaragoza," ""Diciembre 2019""",77719856.3491866
Jalisco," ""Diciembre 2019""",36414667.0736734
Veracruz de Ignacio de la Llave," ""Diciembre 2019""",32919803.2066015
Baja California Sur," ""Enero 2020""",4467507.26317671
Jalisco," ""Enero 2020""",26149328.0175078
Veracruz de Ignacio de la Llave," ""Enero 2020""",36733581.5083449
Sinaloa," ""Enero 2020""",58738739.7061596
Campeche," ""Enero 2020""",41084977.2602308
Chiapas," ""Enero 2020""",7602596.8948555
Chihuahua," ""Enero 2020""",46136370.6722865
Estado de Mexico," ""Enero 2020""",941.935491967871
Coahuila de Zaragoza," ""Enero 2020""",68868807.2279171
Yucatan," ""Enero 2020""",36131379.622194
Aguascalientes," ""Enero 2020""",13833335.1208926
Quintana Roo," ""Enero 2020""",41941396.3689688
Tamaulipas," ""Enero 2020""",68111690.1259222
Baja California," ""Enero 2020""",39531887.0024347
Veracruz de Ignacio de la Llave," ""Febrero 2020""",38258620.4104919
Nuevo Leon," ""Febrero 2020""",1470522.26989579
Guanajuato," ""Febrero 2020""",3717190.47619048
Baja California," ""Febrero 2020""",41431780.8690368
Tamaulipas," ""Febrero 2020""",66160312.1184187
Aguascalientes," ""Febrero 2020""",28355904.9433354
Estado de Mexico," ""Febrero 2020""",3012.06587837838
Chihuahua," ""Febrero 2020""",57438569.917006
Jalisco," ""Febrero 2020""",19165380.8160506
Campeche," ""Febrero 2020""",79092878.0836746
Coahuila de Zaragoza," ""Febrero 2020""",77842882.2347716
Chiapas," ""Febrero 2020""",10420682.2067382
Sinaloa," ""Febrero 2020""",65868682.5216177
Baja California Sur," ""Febrero 2020""",3163313.53720154
Yucatan," ""Febrero 2020""",25620143.9278075
Quintana Roo," ""Febrero 2020""",23585651.8557434
Jalisco," ""Marzo 2020""",35039719.4501133
Coahuila de Zaragoza," ""Marzo 2020""",53206953.7298043
Colima," ""Marzo 2020""",4323475
Aguascalientes," ""Marzo 2020""",21229263.3776361
Chiapas," ""Marzo 2020""",3044577.5862069
Quintana Roo," ""Marzo 2020""",30483171.5549179
Tamaulipas," ""Marzo 2020""",35504352.1828613
Yucatan," ""Marzo 2020""",21874086.3330964
Campeche," ""Marzo 2020""",58388984.9016847
Baja California Sur," ""Marzo 2020""",3594124.26108374
Veracruz de Ignacio de la Llave," ""Marzo 2020""",23649788.0230683
Baja California," ""Marzo 2020""",35801081.1003484
Chihuahua," ""Marzo 2020""",60035668.2553305
Sinaloa," ""Marzo 2020""",59437397.329182
Durango," ""Abril 2020""",4529860
Baja California," ""Abril 2020""",25189918.8686548
Tamaulipas," ""Abril 2020""",12571197.9353537
Jalisco," ""Abril 2020""",4479242.39964203
Veracruz de Ignacio de la Llave," ""Abril 2020""",8102706.74252267
Yucatan," ""Abril 2020""",25687087.4376783
Aguascalientes," ""Abril 2020""",11907120.951028
Nuevo Leon," ""Abril 2020""",835.747508305648
Chihuahua," ""Abril 2020""",14827961.0862156
Quintana Roo," ""Abril 2020""",15256404.9906939
Sinaloa," ""Abril 2020""",4307582.10760262
Chiapas," ""Abril 2020""",1421204.92662474
Coahuila de Zaragoza," ""Abril 2020""",31993102.3049809
Baja California Sur," ""Abril 2020""",14707496.5864128
Campeche," ""Abril 2020""",17965330.2628448
Yucatan," ""Mayo 2020""",830195.713016967
Tamaulipas," ""Mayo 2020""",1310.889563514
Chihuahua," ""Mayo 2020""",4180538.31542461
Sinaloa," ""Mayo 2020""",2962862.74509804
Nuevo Leon," ""Mayo 2020""",2633841.66666667
Quintana Roo," ""Mayo 2020""",1739832.48455849
Baja California," ""Mayo 2020""",2361.47742146597
Chiapas," ""Mayo 2020""",2119.08393595041
Veracruz de Ignacio de la Llave," ""Mayo 2020""",519587.97240024
Coahuila de Zaragoza," ""Mayo 2020""",2113066.73187811
Jalisco," ""Mayo 2020""",4341018.51851852
