venta,hora_id,cliente_id,empleado_id,tienda_id,promocion_id,precio_de_venta_por_unidad,unidades_vendidas,ganancia_por_unidad
64,1038,59,20,34,1,19.17,5175.8343766301505,0.10495209444355615
65,1322,33,26,28,11,0.046,51642.30434782609,0.999980636030622
66,1441,60,19,39,11,0.05,2108651.0,0.9999995257631538
67,1104,40,23,27,11,0.044,4943353.272727273,0.9999997977081659
68,435,64,29,33,1,18.4,18913.040760869564,0.10496682542626803
69,900,56,22,28,11,0.043,1969838.2093023257,0.9999994923440945
70,747,42,31,31,11,0.046,2008283.608695652,0.9999995020623603
71,947,51,19,32,11,0.06,3941392.666666667,0.9999997462825746
72,625,55,24,36,1,19.3,9306.744559585492,0.10496109651828077
73,900,62,30,33,1,15.84,310.09406565656565,0.10463385784290774
74,851,55,32,33,11,0.043,512198.6744186047,0.9999980476325888
75,1022,39,29,28,1,15.27,11437.604125736738,0.10496319786153299
76,643,66,26,29,11,0.043,3411384.7209302327,0.9999997068639037
77,1005,62,23,37,1,15.1,7217.446026490066,0.10495783143557551
78,285,61,23,28,11,0.044,5596989.636363637,0.9999998213325261
79,871,64,21,31,1,18.62,4957.843447905478,0.10495120269940832
80,1512,31,26,40,11,0.044,1595091.9090909092,0.9999993730768777
81,1608,53,30,30,1,16.0,13306.8190625,0.10496448707536486
82,933,64,26,45,1,19.91,18674.045454545452,0.10496675439253679
83,558,42,19,34,11,0.042,2599512.9047619044,0.9999996153125463
84,1008,38,27,36,11,0.043,1431059.139534884,0.9999993012168593
85,996,61,24,41,11,0.059,2389306.084745763,0.9999995814684413
86,1214,59,25,39,11,0.05,554351.0,0.9999981960887596
87,664,45,22,35,1,17.42,21178.779276693454,0.104967419202119
88,1366,57,24,31,11,0.046,833066.2173913043,0.9999987996152297
89,547,45,30,33,11,0.059,2329238.2881355933,0.9999995706750979
90,1457,56,23,27,12,0.051,8360911.000000001,0.960784198811659
91,1228,46,26,37,1,15.51,14792.7027724049,0.10496527946368384
92,739,55,33,30,11,0.041,1634464.4146341463,0.9999993881787874
93,1050,53,20,35,11,0.054,1301297.2962962964,0.9999992315360965
94,1040,57,13,27,11,0.048,3267084.3333333335,0.999999693916686
95,760,55,30,30,1,18.97,6954.66315234581,0.10495728187896063
96,1011,34,29,27,11,0.04,185388.5,0.999994605922158
97,1111,56,25,33,1,16.22,11965.021886559804,0.10496360241992876
98,930,50,23,46,11,0.06,2218317.666666667,0.9999995492079358
99,763,63,24,28,12,0.04,7462270.0,0.9607841849732052
100,1087,44,30,38,11,0.059,3755450.152542373,0.9999997337203372
101,1582,44,19,36,1,18.83,14577.315454062667,0.10496517461328857
102,760,48,24,23,1,18.21,16633.518396485448,0.10496606479635262
103,452,59,27,29,11,0.043,702803.3255813954,0.9999985771268239
104,695,39,26,50,1,18.56,22394.97144396552,0.10496768837158377
105,970,66,18,26,11,0.048,1036001.0,0.9999990347499664
106,1255,31,23,29,1,15.18,15284.828392621872,0.10496550794090233
107,652,42,35,24,2,17.24,30068.687935034803,0.09889780972868423
108,383,66,19,35,11,0.06,2775176.0,0.9999996396624935
109,1343,48,23,26,11,0.057,954790.4736842104,0.9999989526497932
110,1332,49,23,28,1,18.47,4113.433676231727,0.10494685628663701
111,660,55,26,29,11,0.04,4007688.5,0.9999997504796094
112,694,57,22,32,1,15.52,1312.2003865979382,0.10489237847618627
113,1284,52,24,29,11,0.057,2596220.298245614,0.9999996148246739
114,773,41,25,42,11,0.059,2421297.6101694917,0.999999586998312
115,1125,48,24,30,11,0.047,1867628.6595744682,0.9999994645616542
116,895,61,29,31,1,18.97,2006.4551924090672,0.10492005836197375
117,1681,49,15,40,11,0.059,2576882.3559322036,0.9999996119341662
118,780,39,33,37,1,17.46,17790.158934707903,0.10496647510388023
119,651,34,19,36,1,16.75,6445.950746268657,0.10495609068009142
120,1032,60,20,28,1,15.32,29143.71312010444,0.10496877380311803
121,1116,43,22,33,11,0.041,3164488.8048780486,0.9999996839931939
122,672,41,22,33,11,0.042,135131.95238095237,0.9999925998257083
123,1072,35,24,20,1,17.3,5112.576011560694,0.10495184350185331
124,1839,39,31,35,1,18.15,18481.449035812675,0.10496669581261292
125,1016,61,25,42,1,16.75,1762.8053731343284,0.10491282721333939
126,1908,49,19,41,1,18.62,8757.919978517724,0.10496038969667902
127,659,43,20,35,1,15.3,12134.151633986927,0.1049637247046256
128,525,51,30,38,11,0.051,2209912.7647058824,0.9999995474934504
129,1128,58,27,40,1,16.55,21264.125377643504,0.10496743909557613
130,1419,60,30,25,11,0.048,1365740.5833333333,0.9999992677965258
131,554,62,31,39,1,15.97,19675.768002504698,0.1049670405811636
132,326,33,24,19,11,0.058,472147.5517241379,0.9999978820180336
133,777,19,22,30,1,17.29,2600.166281087334,0.10493200428188125
134,932,47,27,35,11,0.044,3118966.909090909,0.9999996793810165
135,576,62,23,34,1,18.76,12606.550106609806,0.10496404887837102
136,1732,47,22,25,1,15.61,19257.788276745676,0.10496692478554107
137,665,40,26,31,12,0.051,5508071.000000001,0.9607841392934042
138,1075,53,15,33,1,19.17,1401.790818988002,0.10489749121121988
139,707,67,24,38,11,0.053,524085.90566037735,0.9999980919158687
140,1082,39,31,33,11,0.051,796579.431372549,0.9999987446324112
141,303,46,24,33,11,0.051,1087677.4705882354,0.9999990806098067
142,542,46,22,39,1,16.09,15916.119639527658,0.10496578034085742
143,1279,49,32,29,11,0.041,3309574.170731707,0.9999996978463245
144,1153,53,18,31,11,0.054,108676.92592592593,0.9999907984147373
145,595,20,32,40,1,19.06,645.9905561385101,0.10480987737744647
146,45,50,30,37,1,17.94,3514.2059643255293,0.1049425048245412
147,1074,50,20,33,1,19.67,3166.9356888662937,0.10493922933526505
148,1343,63,19,37,1,17.98,3561.9585650723025,0.10494290528162546
149,943,39,26,31,11,0.055,3496555.5454545454,0.9999997140042574
150,1168,36,30,39,1,17.39,24742.940195514664,0.10496813317234348
151,1797,51,26,39,1,15.05,19519.534883720928,0.10496699787928612
152,1433,57,23,42,1,15.08,9228.279177718834,0.10496100061474917
153,848,61,10,28,11,0.047,706639.2978723404,0.9999985848508525
154,806,57,29,25,11,0.052,3752866.384615385,0.9999997335370094
155,1365,50,22,26,11,0.059,1508306.0847457629,0.9999993370045973
156,860,51,22,31,1,19.73,19042.420172326405,0.10496686313628215
157,414,64,20,31,11,0.052,4449462.538461539,0.9999997752537545
158,761,50,16,36,11,0.042,1065477.1904761903,0.9999990614533948
159,930,44,27,35,1,18.73,8943.781900694074,0.10496063877921431
160,1220,51,21,41,11,0.054,2551371.3703703703,0.9999996080539229
161,564,56,19,27,11,0.048,4352646.833333333,0.9999997702547351
162,1023,38,19,30,1,15.74,22117.498094027957,0.10496762956718796
163,1658,35,31,28,11,0.047,4976458.44680851,0.9999997990538833
164,685,33,24,28,2,18.16,30670.605726872247,0.09889787427946013
165,822,49,17,29,1,16.52,21353.96004842615,0.10496745986349873
166,1502,45,25,28,1,16.91,18305.280603193376,0.10496664114995982
167,1260,46,19,32,11,0.051,1425167.6666666667,0.9999992983281734
168,1351,39,28,38,2,18.06,27790.817829457366,0.09889754013217356
169,891,53,22,39,11,0.045,783323.2222222222,0.9999987233877771
170,953,32,31,19,1,15.04,10317.398271276597,0.10496220138377857
171,835,53,28,16,1,18.11,9711.385146327995,0.10496156648325895
172,576,42,28,37,11,0.044,2593773.7272727275,0.9999996144613582
173,1284,58,30,33,11,0.049,1412490.7959183673,0.999999292030785
174,542,57,30,31,11,0.045,2168201.0,0.9999995387881474
175,1077,50,28,34,11,0.058,1128251.0,0.9999991136724009
176,395,40,27,32,11,0.04,5203363.5,0.9999998078166171
177,1241,57,22,27,11,0.04,5988763.5,0.9999998330206227
178,1058,44,17,44,11,0.049,2938205.081632653,0.9999996596561601
179,663,63,22,41,11,0.057,2965176.4385964912,0.9999996627519405
180,787,48,12,24,1,17.29,10194.524291497977,0.10496207875347864
181,1273,57,21,20,11,0.042,1387310.5238095238,0.9999992791808446
182,689,46,19,36,1,19.34,9295.125387797312,0.10496108241899373
183,783,46,17,45,11,0.042,2509465.2857142854,0.9999996015087335
184,722,54,28,25,2,19.08,33788.374737945494,0.09889817182633819
185,1254,62,29,33,1,15.82,11802.669089759798,0.10496348173832522
186,1224,38,24,31,11,0.054,3167528.777777778,0.9999996842964752
187,695,62,25,40,11,0.043,367373.0930232558,0.9999972779715799
188,1146,33,23,31,1,19.7,8980.529441624367,0.10496068680562907
189,629,44,26,40,11,0.056,822063.5,0.9999987835489594
190,1425,66,33,29,11,0.05,4942701.0,0.9999997976814701
191,818,36,22,33,11,0.044,1061387.3636363638,0.9999990578369083
192,836,47,17,37,11,0.05,2902031.0,0.999999655413743
193,54,46,29,27,1,17.96,4966.910356347438,0.1049512413499091
194,947,60,30,28,1,19.14,10955.566353187043,0.10496279404304096
195,821,46,25,35,11,0.047,3786107.3829787234,0.9999997358764824
196,995,49,21,25,1,17.88,4983.207214765101,0.10495131046671345
197,359,61,19,25,1,16.26,13231.365313653136,0.10496444208941072
198,167,60,12,36,1,16.08,6765.368470149255,0.10495685955484163
199,486,45,26,30,11,0.048,1737886.4166666667,0.9999994245884021
200,981,48,31,35,11,0.058,2491699.275862069,0.9999995986674597
201,280,38,26,24,11,0.042,4880905.761904761,0.9999997951199944
202,1059,34,24,31,11,0.056,1644063.5,0.9999993917509877
203,1447,57,31,38,11,0.054,1209751.0,0.9999991733836137
204,465,55,32,37,1,17.35,19825.976945244955,0.10496708100192831
205,737,55,32,39,11,0.049,2579103.0408163266,0.9999996122683025
206,1207,65,29,25,11,0.048,1057417.6666666667,0.9999990542998934
207,1420,48,24,40,1,15.17,17569.275214238627,0.10496640092076603
208,1189,57,27,28,12,0.042,7309442.428571429,0.9607841822812214
209,1314,41,24,46,11,0.056,1824992.0714285714,0.999999452052414
210,1274,51,24,30,11,0.06,3191376.0,0.9999996866555366
211,1301,45,33,39,1,18.52,13918.942224622031,0.1049648339985742
212,830,50,22,37,11,0.057,4032343.1052631577,0.9999997520052303
213,1159,68,27,32,11,0.045,1912167.6666666667,0.9999994770333076
214,756,43,23,22,11,0.054,2068213.962962963,0.9999995164910315
215,1250,63,22,28,11,0.05,2552801.0,0.999999608273422
216,449,47,29,22,11,0.041,1818574.1707317072,0.9999994501186611
217,1028,49,18,41,1,19.03,2464.6639516552814,0.10492978474200393
218,1067,45,26,28,1,17.38,13854.842059838897,0.10496479910653429
219,935,51,30,30,1,19.36,10870.115444214876,0.10496271872088837
220,1260,44,24,33,1,17.77,1719.736072031514,0.1049113358732789
221,1224,59,27,29,1,19.49,6526.4725500256545,0.10495629160002344
222,1325,65,26,35,1,19.28,1450.9245331950206,0.10490002707888535
223,701,54,27,31,11,0.051,3261422.568627451,0.9999996933853315
224,943,44,21,27,1,18.18,3740.173267326733,0.10494430951073108
225,1388,35,20,28,1,16.22,12854.67817509248,0.10496420960708074
226,1223,49,34,24,1,15.73,22013.95994914177,0.10496760724477003
227,573,60,28,26,1,16.0,13483.8596875,0.10496459065144806
228,939,40,21,39,11,0.052,2399395.230769231,0.9999995832283122
229,1212,52,19,26,11,0.055,2904737.3636363638,0.9999996557347963
230,940,57,30,34,1,17.96,7774.627505567928,0.10495887377355571
231,1087,58,29,26,1,16.18,18340.058714462302,0.10496665202432481
232,1692,54,27,34,11,0.056,1768733.1428571427,0.9999994346235869
233,1065,60,29,26,1,18.69,1876.2723381487426,0.10491642838831249
234,1795,63,24,23,11,0.045,2240256.5555555555,0.9999995536225539
235,1585,63,24,30,11,0.044,4665921.454545455,0.9999997856800613
236,2069,42,30,45,1,16.9,24454.581952662724,0.10496808314633552
237,1753,39,20,38,1,16.86,21671.616844602613,0.10496753191838513
238,2264,44,26,26,2,19.54,25891.524564994885,0.09889727907586408
239,932,40,17,32,11,0.054,3870084.3333333335,0.999999741607698
240,1078,48,15,35,1,16.62,10260.171480144403,0.10496214463590327
241,993,54,32,19,1,17.38,4927.261795166858,0.10495107128664985
242,2051,24,14,34,1,16.1,17691.8950310559,0.1049664423309814
243,1145,45,23,29,1,17.92,22207.336495535714,0.1049676487673357
244,1320,43,23,41,11,0.047,1903192.4893617022,0.9999994745670732
245,2488,55,28,32,1,15.74,17102.222681067342,0.10496623775300465
246,572,49,21,30,1,17.29,11060.319838056681,0.10496288479186089
247,1948,47,18,39,11,0.042,2027441.476190476,0.9999995067675138
248,1125,56,29,42,1,16.57,16230.64846107423,0.104965908150143
249,901,44,18,30,1,16.99,2891.5668040023547,0.10493607275078103
250,1226,48,29,31,1,18.19,22386.142660802638,0.10496768652297038
251,1693,42,26,41,1,15.22,13822.942509855453,0.10496478162186183
252,1721,80,22,29,11,0.047,1149032.914893617,0.9999991297029118
253,1417,37,26,32,11,0.059,1066289.1355932204,0.9999990621680681
254,1485,67,28,39,1,16.19,10043.20197652872,0.104961923608101
255,1177,40,29,34,1,19.89,1085.4529914529915,0.10487566733334382
256,1614,60,21,41,11,0.052,2469962.5384615385,0.99999959513556
257,1593,61,27,32,11,0.054,1762075.0740740742,0.9999994324872903
258,1127,42,24,37,1,16.15,14997.606501547989,0.10496537641537806
259,1798,59,30,36,1,18.33,9411.173213311513,0.10496122167470436
260,1682,54,18,32,11,0.048,3821198.9166666665,0.9999997383020298
261,1049,47,28,27,11,0.059,3609187.4406779665,0.9999997229293252
262,1757,18,29,29,11,0.054,3660454.703703704,0.9999997268098963
263,1555,38,22,30,12,0.054,5494401.0,0.9607841388594196
264,1186,76,25,38,1,16.31,9500.670141017781,0.10496132674625619
265,1467,23,31,33,1,15.77,11141.796766011415,0.10496295419622086
266,970,37,23,28,11,0.045,469889.88888888893,0.9999978718418429
267,1186,47,31,26,1,17.88,11132.803691275169,0.10496294658554114
268,1180,55,24,33,11,0.046,2227446.652173913,0.9999995510554657
269,1081,43,30,31,1,16.04,20379.91864089776,0.1049672249155953
270,1533,52,28,35,1,17.21,11590.311156304473,0.10496331878313779
271,1707,28,26,31,1,16.52,8147.040859564165,0.10495949096626425
272,2137,54,26,30,11,0.052,2617799.076923077,0.9999996179997125
273,1285,57,26,41,11,0.054,2335269.5185185187,0.9999995717839024
274,1263,54,13,39,1,19.85,6911.096725440806,0.10495718673003304
275,1443,39,27,40,1,17.51,13510.825528269559,0.10496460618936808
276,920,24,23,37,1,17.0,16161.052647058823,0.10496588029838402
277,1456,48,25,37,1,16.22,25997.208692971642,0.10496833785804922
278,1633,49,27,32,11,0.047,2267235.0425531915,0.9999995589341285
279,2258,41,28,30,1,17.53,19209.973474044495,0.10496691121790389
280,1711,51,25,44,1,19.46,4026.1572456320655,0.10494630309351669
281,1883,53,26,28,11,0.04,3386001.0,0.9999997046663601
282,1300,33,28,31,1,17.73,9894.237450648618,0.10496176624483546
283,1625,46,35,37,11,0.042,5507155.761904761,0.999999818418065
284,1462,69,28,29,1,16.35,2349.6825688073395,0.10492770055998195
285,1351,49,20,49,1,18.48,5909.9937770562765,0.10495461384860748
286,828,48,27,37,11,0.055,2321873.727272727,0.9999995693133574
287,1596,52,29,33,1,19.2,3932.3765625,0.10494568130515858
288,1739,37,23,27,11,0.052,1467924.076923077,0.9999993187658573
289,1901,59,23,39,11,0.047,3255447.8085106383,0.999999692822598
290,1311,46,27,35,1,15.71,1125.4812221514958,0.10487910680826251
291,1695,53,21,33,1,17.3,10606.919942196531,0.10496247909703839
292,1431,43,22,40,1,18.71,12825.541688936399,0.1049641910557411
293,1294,62,29,30,1,18.51,22387.844678552134,0.10496768687946052
294,1106,49,17,38,1,16.34,1621.359853121175,0.10490763227446323
295,1774,60,26,40,11,0.054,2638612.111111111,0.9999996210128819
296,1382,35,24,42,1,15.72,9128.374045801527,0.10496087612067732
297,2100,46,24,38,1,18.73,14423.984516817938,0.10496509806384877
298,962,50,34,34,1,15.54,20037.781531531535,0.10496713696817103
299,1504,38,26,31,11,0.058,3390449.275862069,0.9999997050538384
300,1477,69,29,35,1,15.93,20184.317953546768,0.10496717500084789
301,1349,44,15,28,1,16.51,15846.667474258024,0.10496575143501197
302,1196,49,5,36,11,0.047,879341.4255319149,0.9999988627852948
303,1131,61,17,35,11,0.051,1845334.3333333335,0.9999994580927792
304,1216,52,32,30,11,0.05,3661181.0,0.9999997268640911
305,1801,63,22,39,11,0.057,3370957.140350877,0.9999997033483493
306,1711,47,22,37,2,15.44,34635.87111398964,0.09889824344819068
307,1911,47,34,34,11,0.04,2378438.5,0.9999995795560827
308,1985,71,29,24,1,15.64,16395.213874680307,0.10496597306747071
309,1722,71,25,33,1,16.57,15273.544055522028,0.1049655028668997
310,929,48,25,35,11,0.056,2962929.5714285714,0.9999996624961964
311,1927,51,21,33,1,15.65,14827.791373801918,0.10496529625625069
312,701,56,31,36,11,0.045,1721167.6666666667,0.9999994189990787
313,825,33,23,18,2,16.63,32888.77209861696,0.09889809176241325
314,1397,55,28,30,1,18.34,21018.021264994546,0.10496738129202154
315,1282,52,23,27,12,0.045,7377887.666666668,0.9607841835006402
316,1147,49,20,52,11,0.058,1314147.551724138,0.999999239050441
317,1030,40,27,41,11,0.045,279423.22222222225,0.9999964211993834
318,999,47,18,19,11,0.051,808089.2352941177,0.9999987625129053
319,1828,51,16,32,1,18.97,20970.66578808645,0.1049673700137851
320,1058,48,33,37,11,0.053,2054387.7924528304,0.999999513236983
321,1751,48,35,24,1,19.9,514.1213567839196,0.1047681974857822
322,1641,61,27,29,11,0.057,2993729.0701754387,0.9999996659684371
323,1799,58,17,26,1,16.64,14705.509615384615,0.10496523738813225
324,1202,65,21,33,1,19.26,3810.363966770509,0.10494482651771873
325,1812,37,22,34,1,17.57,94.12692088787706,0.10385715408662421
326,1516,57,24,25,12,0.052,7589232.538461539,0.9607841871271405
327,646,61,28,41,11,0.05,1441431.0,0.9999993062449746
328,520,56,28,33,11,0.06,1061776.0,0.9999990581817634
329,926,40,24,37,11,0.06,1499359.3333333335,0.9999993330484709
330,1342,58,34,27,1,19.84,6990.7109375,0.10495735971059811
331,1221,59,19,36,11,0.06,910551.0,0.9999989017638771
332,1512,53,24,38,12,0.052,5416495.230769231,0.9607841363443106
333,1763,52,26,27,11,0.044,5637114.636363637,0.9999998226042817
334,1753,49,20,32,1,19.07,18691.59910854746,0.10496675967161005
335,1873,24,19,36,1,18.15,4377.360606060606,0.10494839494395752
336,1296,55,29,32,11,0.05,2090341.0,0.9999995216091537
337,771,47,17,23,12,0.048,5754894.125,0.9607841467746665
338,1747,53,19,36,1,18.69,7530.077046548957,0.10495843527870467
339,881,45,25,30,1,16.49,25325.468465736813,0.1049682307573824
340,2085,54,25,35,1,17.54,19279.563854047894,0.10496693094214322
341,1841,69,26,32,2,17.72,33636.13036117382,0.09889815857776683
342,1446,37,22,32,11,0.058,684940.6551724138,0.9999985400195003
343,1029,57,30,39,11,0.059,2425373.8813559324,0.9999995876924347
344,2222,43,30,25,1,17.57,2531.9610130904953,0.10493091676799879
345,1941,41,24,35,11,0.055,1570673.7272727273,0.9999993633305361
346,1409,45,11,24,11,0.048,3373657.25,0.9999997035857747
347,1472,36,17,40,1,18.52,377.22003239740826,0.10469409679056242
348,1517,40,29,10,11,0.051,3812451.980392157,0.9999997377016143
349,1060,58,25,34,1,15.73,4373.8242212333125,0.10494837555471269
350,1303,47,21,31,11,0.056,1512974.2142857143,0.9999993390502029
351,912,76,32,26,11,0.058,424561.3448275862,0.9999976446277736
352,1158,43,21,26,1,18.11,18469.896189950305,0.10496669225987207
353,1669,43,20,29,1,17.95,13097.88774373259,0.10496436123990054
354,1316,34,21,39,1,18.09,19316.571586511887,0.10496694137348678
355,1723,61,24,30,1,18.51,13470.97893030794,0.10496458320750508
356,1712,52,26,35,11,0.055,992610.0909090909,0.9999989925550736
357,2298,60,28,21,11,0.056,335054.5714285714,0.9999970154115619
358,1191,45,25,40,11,0.05,1333361.0,0.9999992500155622
359,1700,52,28,28,11,0.054,3862389.888888889,0.9999997410929428
360,1872,62,27,48,12,0.043,7127144.255813954,0.9607841789191386
361,1353,52,22,23,11,0.051,2347628.4509803923,0.9999995740382174
362,1041,52,24,27,1,15.17,12880.874093605802,0.10496422621449861
363,1007,51,21,37,12,0.058,6432376.0,0.9607841643585512
364,999,69,29,34,11,0.051,907471.5882352942,0.9999988980371254
365,1572,21,28,22,11,0.057,2146448.3684210526,0.9999995341141139
366,800,46,34,40,2,19.64,23439.986761710796,0.09889687956855804
367,1182,43,31,28,1,18.83,11391.359798194371,0.10496316060324765
368,1527,50,27,36,11,0.052,3754126.0,0.9999997336264153
369,1592,41,27,32,1,15.24,10784.930118110236,0.1049626424448156
370,917,54,29,33,1,16.47,11283.663023679419,0.10496307264996656
371,1460,59,22,40,1,19.47,10324.089111453519,0.1049622079775478
372,1410,35,25,28,1,17.97,7882.306065664997,0.10495905822046434
373,1441,56,22,38,11,0.042,375310.5238095238,0.9999973355396756
374,1402,42,34,23,1,17.12,17299.292640186915,0.10496630767511865
375,1285,48,30,40,1,19.11,2874.8367346938776,0.10493586148636658
376,1400,31,24,29,1,19.31,3869.675815639565,0.10494524877334341
377,1684,48,19,36,11,0.056,2840545.6428571427,0.9999996479549615
378,1163,37,29,22,1,15.25,11758.04786885246,0.10496344798620802
379,1533,64,27,33,1,18.3,12214.44480874317,0.10496378157295978
380,2061,36,28,21,1,16.99,2122.2369040612125,0.10492291260970017
381,1045,39,18,27,11,0.049,719205.081632653,0.999998609576009
382,1683,83,31,42,11,0.059,3215662.0169491526,0.9999996890220444
383,2399,33,19,30,1,16.3,6995.37300613497,0.1049573697180029
384,1425,40,30,31,1,18.94,14555.875131995776,0.10496516400634014
385,1593,45,18,44,11,0.042,2726643.857142857,0.9999996332487657
386,780,41,29,30,11,0.044,3102819.181818182,0.9999996777124475
387,1537,51,18,37,2,16.76,37217.71957040572,0.09889844153519785
388,1659,56,30,35,11,0.059,823068.7966101696,0.9999987850347333
389,1321,58,24,35,11,0.06,2341267.666666667,0.9999995728809592
390,1339,30,21,25,11,0.058,3602147.5517241377,0.9999997223878296
391,1410,47,20,35,11,0.052,843020.2307692308,0.9999988137888469
392,2226,65,25,33,11,0.05,3608761.0,0.9999997228965841
393,1691,47,29,30,11,0.056,456295.64285714284,0.99999780843842
394,1895,63,24,34,1,16.53,4680.008771929824,0.1049499457378435
395,1974,42,32,30,11,0.04,4429988.5,0.9999997742657797
396,1800,51,31,25,1,19.26,10185.492211838005,0.10496206962257416
397,1300,43,33,31,1,17.58,3138.8481228668948,0.10493893272950176
398,1488,54,35,34,1,19.32,12142.802277432711,0.10496373086766718
399,774,44,21,29,11,0.058,1503156.172413793,0.9999993347331313
400,1008,47,30,44,11,0.046,1411870.5652173914,0.9999992917197761
401,1238,23,21,37,1,16.77,19278.25551580203,0.10496693057262989
402,1158,54,25,28,1,15.72,13584.232506361323,0.10496464817448628
403,1404,39,27,25,11,0.048,3573157.25,0.9999997201354628
404,1422,47,20,34,11,0.057,2816150.1228070175,0.9999996449052939
405,1743,55,25,20,11,0.057,411623.8070175438,0.9999975705972712
406,1642,61,15,27,11,0.056,1950733.1428571427,0.9999994873722202
407,1182,47,33,30,1,16.29,9252.0,0.10496102977883832
408,1782,43,30,35,1,15.07,22935.81386861314,0.10496779890182265
409,2079,42,28,31,1,18.36,13182.847494553378,0.10496441289078516
410,753,50,32,27,11,0.05,3977721.0,0.9999997485997635
411,931,49,23,26,11,0.056,1736081.357142857,0.9999994239901282
412,1773,49,18,41,1,18.05,5844.141274238227,0.10495441370598677
